Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Type,Date,Number of the Month,Number of the Day,Number of the Year,Offset,Link to the Webflow update node,Special icon,Notes
Background-clip,background-clip,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fe0,Fri Aug 07 2020 10:01:22 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 10:01:22 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Fri Aug 07 2020 00:00:00 GMT+0000 (Coordinated Universal Time),8,7,2020,1,,,
University 2.0,university-2-0,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fcc,Fri Aug 07 2020 09:29:52 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 09:32:56 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),announcement,Fri Aug 07 2020 00:00:00 GMT+0000 (Coordinated Universal Time),8,7,2020,8,https://wfl.io/3gwM3Wm,,New library of lessons covering everything from layout and typography to interactions and 3D transforms
Clean Up IX2,clean-up-ix2,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671e74,Fri Aug 07 2020 09:28:43 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 09:32:28 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Tue Aug 04 2020 00:00:00 GMT+0000 (Coordinated Universal Time),8,4,2020,7,https://webflow.com/feature/clean-up-unused-interactions,,Clean your interactions panel up by bulk selecting and removing all unused interactions and animations
A11Y Elements,a11y-elements,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fa7,Fri Aug 07 2020 09:27:09 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 09:32:08 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Fri Jul 24 2020 00:00:00 GMT+0000 (Coordinated Universal Time),7,24,2020,6,https://webflow.com/feature/most-commonly-used-elements-now-keyboard-and-screen-reader-accessible,,Most commonly used elements and components are now keyboard and screen reader accessible
Buy Now button,buy-now-button,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fda,Fri Aug 07 2020 09:26:01 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 09:31:51 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Tue Jun 30 2020 00:00:00 GMT+0000 (Coordinated Universal Time),6,30,2020,5,https://webflow.com/feature/buy-now-button?utm_source=sybg&utm_medium=in-app-update&utm_campaign=buy-now-button,,Buy Now checkout option for your Ecommerce store lets your customers check out faster
Bulk delete Assets,bulk-delete-assets,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f08,Fri Aug 07 2020 09:24:40 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 09:31:36 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Thu May 21 2020 00:00:00 GMT+0000 (Coordinated Universal Time),5,21,2020,4,https://webflow.com/feature/bulk-delete-in-the-asset-manager-wide-view?utm_source=sybg&utm_medium=in-app-update&utm_campaign=asset-manager-bulk-actions,,Select multiple (or all) of your assets at once in the wide view of the asset manager to delete unneeded files.
 Printful Integration,printful-ecomm-integration,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fb1,Fri Aug 07 2020 09:23:54 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 09:31:19 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Wed May 20 2020 00:00:00 GMT+0000 (Coordinated Universal Time),5,20,2020,3,https://webflow.com/feature/announcing-a-new-integration-with-printful?utm_source=sybg&utm_medium=in-app-update&utm_campaign=printful-integration-announcement,,Connect your Webflow Ecommerce store to Printful to get a print-on-demand store.
Digital goods ᵇ,sell-digital-goods-beta,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f672038,Fri Aug 07 2020 09:22:01 GMT+0000 (Coordinated Universal Time),Tue Aug 11 2020 12:26:45 GMT+0000 (Coordinated Universal Time),Tue Aug 11 2020 12:26:50 GMT+0000 (Coordinated Universal Time),feature,Fri May 15 2020 00:00:00 GMT+0000 (Coordinated Universal Time),5,15,2020,2,https://webflow.com/feature/digital-downloads?utm_source=sybg&utm_medium=in-app-update&utm_campaign=digital-downloads,,Add links to file downloads to any of your products. 
Shippo integration,shippo-integration,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fa3,Thu Apr 23 2020 14:57:29 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 09:09:04 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Thu Apr 23 2020 00:00:00 GMT+0000 (Coordinated Universal Time),4,23,2020,1,https://webflow.com/blog/shippo-integration?utm_source=sybg&utm_medium=in-app-update&utm_campaign=shippo-integration,,"Keep your Ecommerce orders synced in Shippo, easily create shipping labels, and automate order tracking for your customers."
Nested Collection Lists,nested-collection-lists,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fc9,Thu Apr 23 2020 14:56:15 GMT+0000 (Coordinated Universal Time),Thu Apr 23 2020 15:26:56 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Tue Apr 21 2020 00:00:00 GMT+0000 (Coordinated Universal Time),4,21,2020,8,https://webflow.com/blog/nested-collection-lists-are-here?utm_source=sybg&utm_medium=in-app-update&utm_campaign=nested-collections,,"Nest a ‘child’ collection list into a ‘parent’ to display categories, tags — or any referenced content — in your designs."
